import time: self [us] | cumulative | imported package
import time:       158 |        158 |   _io
import time:        28 |         28 |   marshal
import time:       218 |        218 |   posix
import time:       368 |        770 | _frozen_importlib_external
import time:        58 |         58 |   time
import time:       169 |        227 | zipimport
import time:        38 |         38 |     _codecs
import time:       405 |        443 |   codecs
import time:       264 |        264 |   encodings.aliases
import time:       673 |       1379 | encodings
import time:       204 |        204 | encodings.utf_8
import time:        65 |         65 | _signal
import time:       173 |        173 | encodings.latin_1
import time:        29 |         29 |     _abc
import time:       236 |        264 |   abc
import time:       248 |        512 | io
import time:        86 |         86 |       _stat
import time:       234 |        320 |     stat
import time:       762 |        762 |     _collections_abc
import time:       178 |        178 |       genericpath
import time:       226 |        403 |     posixpath
import time:       463 |       1946 |   os
import time:       193 |        193 |   _sitebuiltins
import time:        50 |         50 |     _locale
import time:       125 |        175 |   _bootlocale
import time:        49 |         49 |           _operator
import time:       230 |        279 |         operator
import time:       129 |        129 |         keyword
import time:       158 |        158 |           _heapq
import time:       152 |        310 |         heapq
import time:        66 |         66 |         itertools
import time:       158 |        158 |         reprlib
import time:        44 |         44 |         _collections
import time:       603 |       1587 |       collections
import time:        33 |         33 |       _functools
import time:       707 |       2326 |     functools
import time:       200 |        200 |         types
import time:       214 |        214 |         warnings
import time:       154 |        566 |       importlib
import time:       111 |        111 |       importlib.machinery
import time:       374 |       1050 |     importlib.abc
import time:       465 |        465 |       contextlib
import time:       179 |        643 |     importlib.util
import time:       454 |       4472 |   _virtualenv
import time:       242 |        242 |   sitecustomize
import time:      8284 |      15309 | site
import time:       123 |        123 |     determined.__version__
import time:       553 |        553 |           enum
import time:        46 |         46 |             _sre
import time:       267 |        267 |               sre_constants
import time:       330 |        597 |             sre_parse
import time:       238 |        880 |           sre_compile
import time:       158 |        158 |           copyreg
import time:       481 |       2069 |         re
import time:       164 |        164 |               token
import time:       760 |        924 |             tokenize
import time:       151 |       1075 |           linecache
import time:       239 |       1313 |         traceback
import time:       182 |        182 |           _weakrefset
import time:       321 |        503 |         weakref
import time:       126 |        126 |         collections.abc
import time:        33 |         33 |           _string
import time:       618 |        651 |         string
import time:       430 |        430 |         threading
import time:        31 |         31 |         atexit
import time:      1588 |       6708 |       logging
import time:      1305 |       1305 |       typing
import time:      1032 |       1032 |                 textwrap
import time:       187 |        187 |                 ruamel.yaml.compat
import time:       336 |       1554 |               ruamel.yaml.error
import time:       119 |        119 |                 ruamel.yaml.util
import time:       157 |        276 |               ruamel.yaml.reader
import time:       123 |        123 |                       _opcode
import time:       289 |        411 |                     opcode
